system,sequence,ate_run1,ate_run2,ate_run3,ate_min,ate_max,ate_ratio,rte_ratio,cross1,cross10,ratio_ge2,ratio_ge10
OKVIS2,MIO13,0.5301607354,0.3642348171,0.4241171228,0.3642348171,0.5301607354,1.4555465609276044,1.231942225664964,False,False,False,False
OKVIS2,MIO14,0.0272247951,0.0524330913,0.0372355625,0.0272247951,0.0524330913,1.925931530702319,1.072245902380226,False,False,False,False
OKVIS2,MIO15,0.1604288529,0.1764524707,0.1957304531,0.1604288529,0.1957304531,1.220045207341877,1.0961974623097288,False,False,False,False
OKVIS2,MIO16,0.4773594537,0.4413664964,0.4499460197,0.4413664964,0.4773594537,1.0815489113776784,1.0150466941591807,False,False,False,False
OKVIS2,MIPB01,0.0254354388,0.0353083626,0.0250813365,0.0250813365,0.0353083626,1.4077544312680466,1.0031563415881917,False,False,False,False
OKVIS2,MIPB02,0.0357349038,0.0373816831,0.0391913647,0.0357349038,0.0391913647,1.0967250652008191,1.0298365255204958,False,False,False,False
OKVIS2,MIPB03,0.0842681592,0.0878971652,0.0881809292,0.0842681592,0.0881809292,1.0464323658798993,1.0058369379425047,False,False,False,False
OKVIS2,MIPB04,0.0617020982,0.057909989,0.0633560842,0.057909989,0.0633560842,1.0940441415038085,1.0330910202579864,False,False,False,False
OKVIS2,MIPB05,0.0246973252,0.0265728669,0.0293339267,0.0246973252,0.0293339267,1.1877369902389268,1.034071449748663,False,False,False,False
OKVIS2,MIPB06,0.0260728552,0.027804664,0.0395577573,0.0260728552,0.0395577573,1.5172008204149425,1.0917516031812946,False,False,False,False
OKVIS2,MIPB07,0.017107943,0.0171266018,0.0198671122,0.017107943,0.0198671122,1.1612800089408761,1.0190738067523086,False,False,False,False
OKVIS2,MIPB08,0.0780670591,0.0890271447,0.1072548603,0.0780670591,0.1072548603,1.37388114188613,1.0373584941867022,False,False,False,False
OKVIS2,MIPP01,0.106635081,0.1065244441,0.114244087,0.1065244441,0.114244087,1.0724682767905662,1.0293756051114502,False,False,False,False
OKVIS2,MIPP02,0.0301833032,0.0423539716,0.0330709667,0.0301833032,0.0423539716,1.4032251976980439,1.0429834223060555,False,False,False,False
OKVIS2,MIPP03,0.0778435316,0.0847286157,0.0923200136,0.0778435316,0.0923200136,1.185968977800077,1.0031547806987964,False,False,False,False
OKVIS2,MIPP04,0.0403988277,0.0351456332,0.030168024,0.030168024,0.0403988277,1.3391274052287945,1.008047278708477,False,False,False,False
OKVIS2,MIPP05,0.0446988864,0.0444046293,0.0394329897,0.0394329897,0.0446988864,1.1335403868705396,1.012348678678255,False,False,False,False
OKVIS2,MIPP06,0.0845662721,0.0978331393,0.1167161241,0.0845662721,0.1167161241,1.380173456883409,1.1024414984910627,False,False,False,False
OKVIS2,MIPT01,0.0553714311,0.0493506084,0.0541282745,0.0493506084,0.0553714311,1.1220009822614465,1.0553205334649993,False,False,False,False
OKVIS2,MIPT02,0.0568373409,0.0435120317,0.0450283322,0.0435120317,0.0568373409,1.3062442427849215,1.046664334758104,False,False,False,False
OKVIS2,MIPT03,0.0764827072,0.0847215032,0.0677960643,0.0677960643,0.0847215032,1.249652233868685,1.0371280654490047,False,False,False,False
OKVIS2,MOO01,0.1356018852,0.1434790151,0.1852388768,0.1356018852,0.1852388768,1.3660494212657157,1.0679647563410406,False,False,False,False
OKVIS2,MOO02,0.1072977696,0.0710377644,0.0886899548,0.0710377644,0.1072977696,1.5104328029782423,1.0352253250640524,False,False,False,False
OKVIS2,MOO03,0.2275362518,0.2425402619,0.1769516975,0.1769516975,0.2425402619,1.3706580119131098,1.0748369791343535,False,False,False,False
OKVIS2,MOO04,0.0713458748,0.0973032743,0.0611929535,0.0611929535,0.0973032743,1.5901058657023313,1.0379204732751692,False,False,False,False
OKVIS2,MOO05,0.0273673169,0.0265731382,0.0220283184,0.0220283184,0.0273673169,1.242369771629958,1.0176907269233555,False,False,False,False
OKVIS2,MOO06,0.0530898111,0.0532934036,0.0572342059,0.0530898111,0.0572342059,1.0780638452865017,1.034194482609874,False,False,False,False
OKVIS2,MOO07,0.0233373117,0.0301454838,0.0383743938,0.0233373117,0.0383743938,1.6443365154179266,1.079494101181434,False,False,False,False
OKVIS2,MOO08,0.1543657622,0.2251052192,0.1862399695,0.1543657622,0.2251052192,1.458258722606819,1.0441616039918216,False,False,False,False
OKVIS2,MOO09,0.0066793949,0.0075782198,0.0072272952,0.0066793949,0.0075782198,1.1345668153263404,1.174748012918389,False,False,False,False
OKVIS2,MOO10,0.0125795444,0.0100217983,0.0134847442,0.0100217983,0.0134847442,1.3455413685585749,1.1548373119148112,False,False,False,False
OKVIS2,MOO11,0.0170930744,0.0303833528,0.0168873894,0.0168873894,0.0303833528,1.7991740511413798,1.2052970397915495,False,False,False,False
OKVIS2,MOO12,0.3515381566,0.6477377839,0.355734695,0.3515381566,0.6477377839,1.8425817275847889,1.0127743772496576,False,False,False,False
OKVIS2,MOO13,0.1263342841,0.1451550452,0.1443606796,0.1263342841,0.1451550452,1.148975879620313,1.0387381512152336,False,False,False,False
OKVIS2,MOO14,0.0383561704,0.0387165852,0.037161799,0.037161799,0.0387165852,1.041838292059004,1.0558837202607299,False,False,False,False
OKVIS2,MOO15,6.7486856013,6.4983299454,6.9555677922,6.4983299454,6.9555677922,1.0703623624287755,1.1256320355831073,False,False,False,False
OKVIS2,MOO16,0.003690555,0.0037790056,0.006033605,0.003690555,0.006033605,1.6348774100372439,1.0292171048243388,False,False,False,False
